雄黄,"克,g,钱,两,分,None,钱5分,千克,钱半"
大原生地,两
山椒末,钱
西玉石,g
乌贼骨粉,g
醋石榴,枚
龙齿,"克,g,两,钱"
大赤足蜈蚣,条
山栀子,"克,g"
发灰,None
草豆蔻仁,None
野菊花,g
堇泥,分
以槐花,克
绿豆大,None
姜黄,g
石南,两
板兰根,g
健猪胆,个
海金砂,"g,分"
煎至,毫升
黄糵,两
青礞石,钱
大桉叶,g
薇衔,克
瞿麦,"g,两,None,分"
炒柴胡,g
干漆,"None,升,两,克,分,钱半"
蓬茂,克
虎骨胶,两
桑黄,两
乌药,"None,g,两,克"
黑芥穗,g
鹿皮,None
救必应,g
牡蛎粉,"g,两,None,克"
十灰散,钱
香墨,"斤,千克,g,两"
地榆,"克,钱,斤4两,g,斤,None,千克,两"
生茜草,g
竹叶钱半,None
法夏,g
炒干姜,"克,石"
大蓟,"斤,g,None"
用豆腐浆煮,None
栀皮,分
青州干枣,枚
珍珠草,g
晒七日,克
川木通,"斤,克,g,两,钱半,两半,分,None,钱"
渐贝母,g
生黄芪,"克,升,g"
鲤鱼齿,枚
玉灵脂,g
酒芍,"钱,None"
三七末冲,g
薄荷炭,克
紫石英,"g,两,钱"
煅鸡蛋壳,g
萝卜汁,升
青蒿,g
