雄黄,"g,分,克,钱,None,两,两半"
制大黄,"克,g"
霜桑叶,g
炒艾叶,g
蚌粉,两
鳗鲡鱼头,枚
炒党参,g
金耳环,g
山檀,克
用皂角挪,None
雷元,None
海粉,None
蟾皮,g
竹沥,升
附子尖,克
茴香附子,None
茯苓,"钱,g,克,两,None,分,-15克,升,石,钱半,钱5分,两半"
炙蜂房,g
茜草,"克,两,g,None,分,钱"
地下埋,None
伽楠香,分
橘叶核,g
天仙子,两
升华硫黄,两
牛蒡草,两
牙消,"克,两"
煅瓦楞,"克,g"
木灵芝,g
如上法蒸熟,None
虎杖,"克,g,两"
以泥塞窍子令密,None
炙旋覆花,g
狗脊,"g,分,两半,克,斤,两"
琥珀末,两
朴消,"两1钱,钱,None,两"
秋五日,克
又入青盐,两
穿山甲末,g
川大金钱草,g
麦糱,两
川归,"钱,两"
米醋浸,两
制厚扑,g
醋炒香附子,g
炒令黄燥,None
去沫,None
酒炒白芍,克
清黛,g
炒米黄为度,None
代代花,g
马蹄金,g
白术,"克,两,None,钱,g,钱7分,升,分,两半,两1分,钱5分,两3钱,～6克,钱2分"
用炭火,斤
马齿览,g
擦碎,None
煨木香,g
川芎,"克,两,钱半,钱,两2钱,None,g,钱4分,分,两半,份"
火硝,"两,g,分,钱"
鸭嘴花,g
乌头,"两,克"
半边莲,g
生草乌头尖,钱
鹿角片,g
头尖,g
身杆,g
槐花末,两
碘酊,g
槟榔,"g,钱,两,None,克,个,分,枚,～60克,两6钱,两半,钱半"
酒茺蔚子,g
木瓜,"钱,g,None,克,两"
藕汁,"升,毫升"
石楠叶,克
漏芦,"克,两,g,None,分,两半,斤"
生牵牛,钱半
榉树菌子,两
桑根白皮,"两半,两"
紫苏,"g,钱,分,None"
同炒后,None
干山药,"克,两半"
扁豆茎,升
桑枝,"钱,g,None,克,两半,两5钱"
葫荽子,合
熟西庄,两
重汤煮,None
"生
姜",g
炙黄耆,"两,克"
灯上烧,None
炒川柏,g
蜣蜋,分
窍子,None
龟板,"钱,g,克,None,两"
蟾蜍,枚
荔枝肉,None
蚕砂,"g,克"
大蛇泡叶,两
天雄,两
当归,"克,钱,两,None,g,两5钱,合,钱半,分,两半,钱5分,钱2分,两2钱,石,斤4两,-3钱,升,份"
京赤芍,"克,None"
炒金铃子,克
雪归,g
肥皂子肉,两
二陈汤,None
蝉蜕,"克,g,分,两,钱4分,钱,None,个"
紫河车,"片,钱,g"
石燕,对
鹿角霜,"g,None,克"
麝香草,g
自然铜,"g,None,克,两,份"
酒青皮,g
鱼古,g
地黄,"g,None,两,分"
苏子,"钱,g,None,克,两"
红萝卜,None
待冷于簸箕中以手挪,None
取出令干,None
百部,"g,两,None,kg"
白螺蛳,None
大风油,文
瓜蒌实,"g,个,两"
楝丁香,两
梓厚朴,克
盐酒浸,None
黑木耳,g
败酱草,"g,克"
