野葛,两
钱,两
黄酒,None
破故脂,钱
炙黄芪,"None,g"
炙甲片,g
白背叶,g
麻皮缠,None
然后以何首乌末尽覆枣,None
淡豆絷,g
苦参,"克,None,两,钱,g,石,分"
麻油,"毫升,克,两,斤,ml,g,None"
上西牛黄,钱
八月扎,g
硫黄,"g,两,None,分,钱半,钱,克"
猪琰子,个
淮木通,钱
附子大者,枚
藿芦,两
酒淬,None
鲤鱼,斤
鬼箭羽,两
炒槐花,"钱,None"
内消,两
无真者,None
麦芽,"None,克,g,两,钱,分"
犀牛皮,克
白蒺藜糖浆,毫升
宣川木瓜,克
用醋浆水添深,None
南山楂,None
使君子肉,"粒,两半"
臭梧桐,None
赤芍,"g,两,克,钱,None,-5钱,分,钱半,两6钱,两半"
败荷,钱
鸡眼草,g
刺蓟叶,分
炒阿胶,g
土楝子,g
腊茶,None
生米仁,g
舌六谷,g
生黄芩,钱
野马料豆,两
真薄荷叶,两
蚰蜒,条
用汤洗十遍,克
川江花,g
久用炊单布,尺
水牛角片,g
六一散,"克,g"
如能食是热痛,None
%尼泊金乙酯酊,ml
八角金盘,"克,g"
地枫皮,两5钱
香油,"斤4两,两,克,g,斤,None"
清油,克
桃仁泥,"克,g"
欢皮,g
朱砂入水煮,None
地骨白皮,两
凤仙花,两
汉土,分
夜明砂,"两,g"
桅子,"None,g"
次安柏脂在上,None
蜂蜡,"斤14两,克,两,钱,～180克,两半,g,分,块"
沸汤洗通,None
松子仁,斤
毛冬青,g
黄柏根皮,分
川萆,克
熟半夏,None
桃肉,g
骨石,g
螃蜞菊,g
有人参,两
生桑白皮,g
次入黄连,None
蚕茧,只
醋淬,"None,两"
大茴香,"两,g,两5钱"
蚕子灰,钱
用无灰好酒入瓷器坛内,None
芦竹根,g
葡萄糖粉,g
棉花仁,钱
味用水,斗
地骨地,g
半夏曲饼子,None
大鲫鱼,"克,尾"
墓头回,g
干鸡冠花,钱
姜半复,克
栀枝,g
白沙蜜,"斤,两"
律草,g
白雷丸,"克,钱"
白豆蔻仁,"钱,克,两"
上肉桂,g
韭根,两
飞丹,两
景天花,两
榆皮,克
鲜绿豆,g
生龟版,g
茱萸,"两1分,None,钱,两"
三奈片,钱
百花蛇舌草,g
生鸡金,g
鬼督邮远志,两
白色者半,None
青皮,"两,克,钱,None,g,两半,分,钱5分,钱2分"
鲜仙人掌去刺,g
虎胫骨,"两,钱,茎,克,两半"
去骨研,None
胡桃,两
薄荷尖,克
火消,钱
