雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
浸透,"None,两"
干膝,钱
酥炙,None
仅取中节,None
螺蛳壳,克
以鸡子,枚
浓汁煎,碗
不食猪者,None
环留行,g
黍米金丹,粒
羊踯躅,"两,克"
条黄芩,克
生阿胶,"克,g,钱"
酒制大黄,g
出火毒后,None
不闻药气为度,None
炙枇杷叶,g
焦建曲,g
炙紫菀,g
醋制延胡索,g
橘叶核,g
金顶砒,分
北庭,两
熟子,g
当归身,"两,两半,克,None,g,两5钱,钱"
牙消,"钱5分,两"
煅瓦楞,"克,g"
川乙金,g
桑螺蛸,克
炒桃仁令紫色,None
蚕蜕,None
出油,"分,None"
蒌皮仁,g
麝香微粒,g
铁钤开匣,None
乌赋骨,克
生龙胆,None
搅匀成膏,None
朴消,"钱,克,分,None,两,斤"
时时搅转,None
附子两枚,枚
一罂药物,None
置甲于穴内,None
沉香屑,钱
黑矾,"克,分,两,钱,None,g"
狼毒,"两,克,g,None"
漏芦,"克,g,两,分,钱5分,钱,两半"
蒲种壳,两
鲜牛蒡草,g
八珍汤加肉果,分
酒炒白芍,"两,克"
孩茶,g
真白蜜,两
炒米黄为度,None
盐花拌匀,None
白术,"两,钱半,None,克,钱,分,-8克,两5钱,钱7分,钱5分,g,升,两半,钱3分,斤"
大麦芒,两
赤柳根,两
地柏,两
